,Price,Area,Ward,District
0,2000000,35,Hòa Minh,Liên Chiểu
1,2500000,35,Mỹ An,Ngũ Hành Sơn
2,2000000,35,Hòa Cường Nam,Hải Châu
3,1700000,20,Xuân Hà,Thanh Khê
4,2200000,18,Hòa Cường Bắc,Hải Châu
5,2500000,40,Hòa Minh,Liên Chiểu
6,3000000,100,Hòa Hải,Ngũ Hành Sơn
7,1200000,25,Hòa Khánh Bắc,Liên Chiểu
8,2500000,30,Hòa Cường Bắc,Hải Châu
9,3000000,30,Hòa Cường Nam,Hải Châu
10,1700000,13,Hòa Thuận Tây,Hải Châu
11,2500000,23,Hòa Cường Nam,Hải Châu
12,1500000,20,Khuê Mỹ,Ngũ Hành Sơn
13,3500000,25,Khuê Trung,Cẩm Lệ
14,2000000,12,Hòa Hải,Ngũ Hành Sơn
15,40000000,390,Khuê Trung,Cẩm Lệ
16,20000000,86,Khuê Trung,Cẩm Lệ
17,20000000,86,Khuê Trung,Cẩm Lệ
18,20000000,86,Khuê Trung,Cẩm Lệ
19,6000000,41,Hòa Cường Nam,Hải Châu
20,2500000000,79,Thạc Gián,Thanh Khê
21,20000000,86,Khuê Trung,Cẩm Lệ
22,20000000,86,Khuê Trung,Cẩm Lệ
23,20000000,86,Khuê Trung,Cẩm Lệ
24,20000000,86,Khuê Trung,Cẩm Lệ
25,20000000,86,Khuê Trung,Cẩm Lệ
26,20000000,86,Khuê Trung,Cẩm Lệ
27,9999999999,170,Hòa Minh,Liên Chiểu
28,20000000,86,Khuê Trung,Cẩm Lệ
29,9999999999,272,Hòa Cường Nam,Hải Châu
30,20000000,86,Khuê Trung,Cẩm Lệ
31,20000000,86,Khuê Trung,Cẩm Lệ
32,1700000,30,Hòa Khánh Bắc,Liên Chiểu
33,3500000,30,Hòa Thuận Tây,Hải Châu
34,2000000,15,Khuê Trung,Cẩm Lệ
35,1800000,25,Hòa Khánh Bắc,Liên Chiểu
36,3000000,40,Hòa Xuân,Cẩm Lệ
37,3000000,40,Hòa Xuân,Cẩm Lệ
38,1000000,20,Hòa Thuận Tây,Hải Châu
39,2200000,35,Chính Gián,Thanh Khê
40,1200000,20,Unknown W,Cẩm Lệ
41,1000000,15,Unknown W,Ngũ Hành Sơn
42,1400000,20,Hòa Minh,Liên Chiểu
43,3000000,25,Unknown W,Ngũ Hành Sơn
44,1500000,15,Unknown W,Thanh Khê
45,1600000,20,Unknown W,Cẩm Lệ
46,1500000,20,Unknown W,Hải Châu
47,2500000,30,Unknown W,Ngũ Hành Sơn
48,2000000,20,Unknown W,Cẩm Lệ
49,1600000,16,Unknown W,Cẩm Lệ
50,3000000,30,Mỹ An,Ngũ Hành Sơn
51,1800000,18,Unknown W,Hải Châu
52,2300000,20,Unknown W,Hải Châu
53,1000000,16,Unknown W,Thanh Khê
54,3000000,30,Hòa Cường Nam,Hải Châu
55,1200000,16,Hòa Khê,Thanh Khê
56,2500000,30,Mỹ An,Ngũ Hành Sơn
57,2500000,25,Thạch Thang,Hải Châu
58,1400000,15,Hòa Khê,Thanh Khê
59,3700000,40,Thọ Quang,Sơn Trà
60,2200000,20,Khuê Trung,Cẩm Lệ
61,1900000,35,Hòa Minh,Liên Chiểu
62,4000000,24,Unknown W,Sơn Trà
63,1800000,20,Unknown W,Sơn Trà
64,3200000,24,Mỹ An,Ngũ Hành Sơn
65,4000000,35,Hòa Xuân,Cẩm Lệ
66,2500000,25,Unknown W,Hải Châu
67,1500000,25,Unknown W,Hải Châu
68,1500000,18,Unknown W,Hải Châu
69,900000,24,Unknown W,Hải Châu
70,5000000,45,Unknown W,Sơn Trà
71,2000000,17,Khuê Trung,Cẩm Lệ
72,1500000,20,Unknown W,Liên Chiểu
73,1500000,20,Unknown W,Hải Châu
74,1200000,19,Unknown W,Hải Châu
75,2200000,22,Unknown W,Cẩm Lệ
76,2300000,23,Unknown W,Ngũ Hành Sơn
77,2000000,20,Khuê Trung,Cẩm Lệ
78,1400000,24,Unknown W,Hải Châu
79,1500000,15,Mỹ An,Ngũ Hành Sơn
80,2000000,20,Unknown W,Sơn Trà
81,1800000,18,Unknown W,Hải Châu
82,1600000,25,Unknown W,Hải Châu
83,4000000,27,Unknown W,Hải Châu
84,2000000,25,Unknown W,Ngũ Hành Sơn
85,1600000,17,Hòa Hải,Ngũ Hành Sơn
86,1500000,23,Unknown W,Cẩm Lệ
87,1400000,18,Unknown W,Sơn Trà
88,1700000,17,Unknown W,Liên Chiểu
89,800000,17,Unknown W,Liên Chiểu
90,3800000,28,Mỹ An,Ngũ Hành Sơn
91,2500000,25,Unknown W,Hải Châu
92,1000000,17,Unknown W,Hải Châu
93,1800000,20,Unknown W,Thanh Khê
94,1500000,20,Unknown W,Cẩm Lệ
95,3300000,30,Unknown W,Ngũ Hành Sơn
96,2000000,40,Unknown W,Cẩm Lệ
97,1700000,25,Unknown W,Cẩm Lệ
98,1500000,18,Unknown W,Liên Chiểu
99,3500000,40,Mỹ An,Ngũ Hành Sơn
100,2000000,20,Unknown W,Sơn Trà
101,3000000,15,Unknown W,Hải Châu
102,1600000,30,Unknown W,Liên Chiểu
103,2500000,20,Unknown W,Hải Châu
104,1000000,19,Unknown W,Cẩm Lệ
105,1800000,35,Unknown W,Cẩm Lệ
106,2200000,22,Unknown W,Thanh Khê
107,1400000,25,Unknown W,Liên Chiểu
108,1200000,22,Unknown W,Liên Chiểu
109,1500000,20,Hòa An,Cẩm Lệ
110,2500000,25,Unknown W,Hải Châu
111,1500000,25,Hòa Minh,Liên Chiểu
112,1500000,22,Unknown W,Liên Chiểu
113,2000000,20,Unknown W,Ngũ Hành Sơn
114,1500000,20,Unknown W,Cẩm Lệ
115,1300000,19,Unknown W,Liên Chiểu
116,2000000,20,Unknown W,Hải Châu
117,2000000,20,Unknown W,Thanh Khê
118,1500000,15,Unknown W,Thanh Khê
119,1900000,17,Unknown W,Cẩm Lệ
120,1800000,18,Unknown W,Liên Chiểu
121,1500000,25,Unknown W,Liên Chiểu
122,1400000,15,Unknown W,Thanh Khê
123,3300000,24,Phước Mỹ,Sơn Trà
124,2000000,20,Unknown W,Cẩm Lệ
125,1500000,20,Unknown W,Ngũ Hành Sơn
126,900000,15,Unknown W,Cẩm Lệ
127,2200000,22,Unknown W,Hải Châu
128,2000000,20,Unknown W,Sơn Trà
129,1500000,27,Unknown W,Cẩm Lệ
130,3500000,40,Unknown W,Sơn Trà
131,1800000,18,Unknown W,Ngũ Hành Sơn
132,2500000,25,Unknown W,Hải Châu
133,1500000,19,Unknown W,Liên Chiểu
134,2700000,27,Unknown W,Cẩm Lệ
135,2200000,22,Unknown W,Hải Châu
136,2000000,20,Unknown W,Hải Châu
137,2000000,24,Unknown W,Thanh Khê
138,2000000,19,Unknown W,Hải Châu
139,1500000,30,Unknown W,Sơn Trà
140,800000,16,Hòa Liên,Hòa Vang
141,1800000,30,Unknown W,Liên Chiểu
142,1500000,20,Unknown W,Ngũ Hành Sơn
143,700000,16,Unknown W,Liên Chiểu
144,2000000,20,Unknown W,Cẩm Lệ
145,2200000,20,Unknown W,Ngũ Hành Sơn
146,1800000,18,Unknown W,Hải Châu
147,1700000,30,Khuê Trung,Cẩm Lệ
148,1800000,18,Unknown W,Hải Châu
149,2500000,20,Vĩnh Trung,Thanh Khê
150,1800000,40,Unknown W,Liên Chiểu
151,1100000,16,Unknown W,Liên Chiểu
152,1500000,25,Unknown W,Ngũ Hành Sơn
153,2500000,30,Unknown W,Ngũ Hành Sơn
154,2000000,20,Unknown W,Cẩm Lệ
155,2800000,35,Unknown W,Ngũ Hành Sơn
156,1600000,24,Unknown W,Liên Chiểu
157,500000,16,Hòa Thọ Tây,Cẩm Lệ
158,1800000,18,Unknown W,Hải Châu
159,2800000,22,Unknown W,Ngũ Hành Sơn
160,2500000,30,Unknown W,Sơn Trà
161,800000,14,Unknown W,Hải Châu
162,2500000,20,Unknown W,Hải Châu
163,2000000,20,Unknown W,Sơn Trà
164,3000000,25,Unknown W,Thanh Khê
165,2500000,25,Unknown W,Cẩm Lệ
166,3500000,35,Hòa Hải,Ngũ Hành Sơn
167,1700000,18,An Khê,Thanh Khê
168,2500000,35,Unknown W,Sơn Trà
169,1500000,17,Unknown W,Thanh Khê
170,3000000,30,Mỹ An,Ngũ Hành Sơn
171,3000000,40,Unknown W,Hải Châu
172,2700000,27,Unknown W,Cẩm Lệ
173,2500000,25,Mỹ An,Ngũ Hành Sơn
174,2000000,20,Unknown W,Thanh Khê
175,1400000,20,Unknown W,Ngũ Hành Sơn
176,2000000,18,Hòa Hải,Ngũ Hành Sơn
177,3500000,35,Unknown W,Hải Châu
178,1600000,16,Hòa Minh,Liên Chiểu
179,1600000,20,Unknown W,Ngũ Hành Sơn
180,1500000,20,Unknown W,Liên Chiểu
181,2500000,40,Unknown W,Thanh Khê
182,1500000,20,Unknown W,Liên Chiểu
183,1500000,20,Unknown W,Liên Chiểu
184,1700000,25,Unknown W,Liên Chiểu
185,900000,20,Hòa Khánh Bắc,Liên Chiểu
186,2200000,30,Unknown W,Thanh Khê
187,3500000,30,Unknown W,Hải Châu
188,2200000,17,Khuê Trung,Cẩm Lệ
189,1600000,16,Unknown W,Ngũ Hành Sơn
190,1400000,20,Unknown W,Liên Chiểu
191,2000000,20,Unknown W,Sơn Trà
192,1500000,25,Unknown W,Liên Chiểu
193,1500000,14,Unknown W,Hải Châu
194,1500000,20,Unknown W,Ngũ Hành Sơn
195,2800000,28,Unknown W,Ngũ Hành Sơn
196,1500000,20,Unknown W,Thanh Khê
197,1300000,15,Unknown W,Ngũ Hành Sơn
198,1700000,25,Unknown W,Hải Châu
199,1800000,25,Unknown W,Liên Chiểu
200,1400000,18,Unknown W,Ngũ Hành Sơn
201,1200000,19,Unknown W,Thanh Khê
202,1500000,20,Unknown W,Cẩm Lệ
203,1500000,17,Unknown W,Thanh Khê
204,2500000,25,Unknown W,Thanh Khê
205,1800000,20,Khuê Trung,Cẩm Lệ
206,1100000,24,Unknown W,Liên Chiểu
207,1600000,20,Hòa Quý,Ngũ Hành Sơn
208,3000000,27,Unknown W,Thanh Khê
209,1600000,25,Mân Thái,Sơn Trà
210,2800000,28,Unknown W,Ngũ Hành Sơn
211,1300000,20,Unknown W,Thanh Khê
212,1300000,19,Unknown W,Ngũ Hành Sơn
213,2000000,25,Unknown W,Hải Châu
214,3500000,35,Unknown W,Hải Châu
215,1700000,25,Unknown W,Thanh Khê
